listing_id,host_name,last_review,description,room_type,price/usd,boroughs,neighbourhood
2595,Jennifer,2019-05-21,Skylit Midtown Castle,Entire home/apt,225,Manhattan,Midtown
3831,LisaRoxanne,2019-07-05,Cozy Entire Floor of Brownstone,Entire home/apt,89,Brooklyn,Clinton Hill
5099,Chris,2019-06-22,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,200,Manhattan,Murray Hill
5178,Shunichi,2019-06-24,Large Furnished Room Near B'way,Private room,79,Manhattan,Hell's Kitchen
5238,Ben,2019-06-09,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,150,Manhattan,Chinatown
5295,Lena,2019-06-22,Beautiful 1br on Upper West Side,Entire home/apt,135,Manhattan,Upper West Side
5441,Kate,2019-06-23,Central Manhattan/near Broadway,Private room,85,Manhattan,Hell's Kitchen
5803,Laurie,2019-06-24,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,89,Brooklyn,South Slope
6021,Claudio,2019-07-05,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,85,Manhattan,Upper West Side
6848,Allen & Irina,2019-06-29,Only 2 stops to Manhattan studio,Entire home/apt,140,Brooklyn,Williamsburg
7097,Jane,2019-06-28,Perfect for Your Parents + Garden,Entire home/apt,215,Brooklyn,Fort Greene
7322,Doti,2019-07-01,Chelsea Perfect,Private room,140,Manhattan,Chelsea
7726,Adam And Charity,2019-06-22,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,99,Brooklyn,Crown Heights
8024,Lisel,2019-07-01,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,130,Brooklyn,Park Slope
8025,Lisel,2019-01-01,CBG Helps Haiti Room#2.5,Private room,80,Brooklyn,Park Slope
8110,Lisel,2019-07-02,CBG Helps Haiti Rm #2,Private room,110,Brooklyn,Park Slope
8490,Nathalie,2019-06-19,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,120,Brooklyn,Bedford-Stuyvesant
8505,Gregory,2019-06-23,Sunny Bedroom Across Prospect Park,Private room,60,Brooklyn,Windsor Terrace
9518,Shon,2019-06-15,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private room,44,Manhattan,Inwood
9657,Dana,2019-04-19,Modern 1 BR / NYC / EAST VILLAGE,Entire home/apt,180,Manhattan,East Village
9668,Ssameer Or Trip,2019-06-01,front room/double bed,Private room,50,Manhattan,Harlem
9704,Teri,2019-06-14,Spacious 1 bedroom in luxe building,Private room,52,Manhattan,Harlem
9782,Andrea,2019-06-15,Loft in Williamsburg Area w/ Roof,Private room,55,Brooklyn,Greenpoint
9783,Ssameer Or Trip,2019-07-01,back room/bunk beds,Private room,50,Manhattan,Harlem
10452,Angela,2019-05-12,Large B&B Style rooms,Private room,70,Brooklyn,Bedford-Stuyvesant
10962,Laurie,2019-06-21,"Lovely room 2 & garden; Best area, Legal rental",Private room,89,Brooklyn,South Slope
11708,Tyrome,2019-06-22,Cute apt in artist's home,Entire home/apt,85,Brooklyn,Bushwick
12048,Ben,2019-07-05,LowerEastSide apt share shortterm 1,Shared room,40,Manhattan,Lower East Side
12192,Edward,2019-06-21,ENJOY Downtown NYC!,Private room,68,Manhattan,East Village
12299,Abdul,2019-05-27,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,120,Brooklyn,South Slope
12318,Cyn,2019-06-16,West Side Retreat,Private room,135,Manhattan,Upper West Side
12343,Earl,2019-06-13,BEST BET IN HARLEM,Entire home/apt,150,Manhattan,Harlem
12627,Rana,2019-06-05,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,150,Brooklyn,Prospect-Lefferts Gardens
12937,Orestes,2019-07-01,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private room,130,Queens,Long Island City
12940,Adreinne,2019-05-25,Charming Brownstone 3 - Near PRATT,Entire home/apt,110,Brooklyn,Bedford-Stuyvesant
13394,Alexander,2019-06-17,Fort Greene brownstone,Private room,80,Brooklyn,Fort Greene
13808,JT And Tiziana,2019-06-16,Blue Room for 2 in Brownstone for $1350 monthly,Private room,80,Brooklyn,Bedford-Stuyvesant
14287,Joya,2019-07-07,Cozy 1BD on Central Park West in New York City,Entire home/apt,151,Manhattan,Upper West Side
